CustomerKey,GeographyKey,First Name,LastName,Full Name,Gender,DateFirstPurchase,Customer City
11000,26,Jon,Yang,Jon Yang,Male,2021-01-19,Rockhampton
11001,37,Eugene,Huang,Eugene Huang,Male,2021-01-15,Seaford
11002,31,Ruben,Torres,Ruben Torres,Male,2021-01-07,Hobart
11003,11,Christy,Zhu,Christy Zhu,Female,2020-12-29,North Ryde
11004,19,Elizabeth,Johnson,Elizabeth Johnson,Female,2021-01-23,Wollongong
11005,22,Julio,Ruiz,Julio Ruiz,Male,2020-12-30,East Brisbane
11006,8,Janet,Alvarez,Janet Alvarez,Female,2021-01-24,Matraville
11007,40,Marco,Mehta,Marco Mehta,Male,2021-01-09,Warrnambool
11008,32,Rob,Verhoff,Rob Verhoff,Female,2021-01-25,Bendigo
11009,25,Shannon,Carlson,Shannon Carlson,Male,2021-01-27,Hervey Bay
11010,22,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2021-01-14,East Brisbane
11011,22,Curtis,Lu,Curtis Lu,Male,2020-12-30,East Brisbane
11012,611,Lauren,Walker,Lauren Walker,Female,2023-03-16,Bremerton
11013,543,Ian,Jenkins,Ian Jenkins,Male,2023-04-13,Lebanon
11014,634,Sydney,Bennett,Sydney Bennett,Female,2023-03-23,Redmond
11015,301,Chloe,Young,Chloe Young,Female,2023-01-18,Burbank
11016,329,Wyatt,Hill,Wyatt Hill,Male,2023-02-09,Imperial Beach
11017,39,Shannon,Wang,Shannon Wang,Female,2021-01-12,Sunbury
11018,32,Clarence,Rai,Clarence Rai,Male,2021-01-17,Bendigo
11019,52,Luke,Lal,Luke Lal,Male,2023-02-12,Langley
11020,53,Jordan,King,Jordan King,Male,2022-12-29,Metchosin
11021,536,Destiny,Wilson,Destiny Wilson,Female,2023-01-23,Beaverton
11022,609,Ethan,Zhang,Ethan Zhang,Male,2023-01-20,Bellingham
11023,298,Seth,Edwards,Seth Edwards,Male,2023-02-17,Bellflower
11024,311,Russell,Xie,Russell Xie,Male,2023-06-27,Concord
11025,24,Alejandro,Beck,Alejandro Beck,Male,2021-01-06,Hawthorne
11026,4,Harold,Sai,Harold Sai,Male,2021-01-23,Goulburn
11027,40,Jessie,Zhao,Jessie Zhao,Male,2021-01-16,Warrnambool
11028,17,Jill,Jimenez,Jill Jimenez,Female,2021-01-26,St. Leonards
11029,32,Jimmy,Moreno,Jimmy Moreno,Male,2021-01-19,Bendigo
11030,28,Bethany,Yuan,Bethany Yuan,Female,2021-02-05,Cloverdale
11031,8,Theresa,Ramos,Theresa Ramos,Female,2021-02-01,Matraville
11032,35,Denise,Stone,Denise Stone,Female,2021-02-18,Melbourne
11033,9,Jaime,Nath,Jaime Nath,Male,2021-02-15,Milsons Point
11034,12,Ebony,Gonzalez,Ebony Gonzalez,Female,2021-02-01,North Sydney
11035,33,Wendy,Dominguez,Wendy Dominguez,Female,2021-02-06,Cranbourne
11036,343,Jennifer,Russell,Jennifer Russell,Female,2023-01-22,National City
11037,49,Chloe,Garcia,Chloe Garcia,Female,2023-01-20,Cliffside
11038,6,Diana,Hernandez,Diana Hernandez,Female,2021-02-07,Lavender Bay
11039,19,Marc,Martin,Marc Martin,Male,2021-02-07,Wollongong
11040,642,Jesse,Murphy,Jesse Murphy,Male,2023-04-03,Tacoma
11041,325,Amanda,Carter,Amanda Carter,Female,2023-01-14,Glendale
11042,338,Megan,Sanchez,Megan Sanchez,Female,2023-01-21,Los Angeles
11043,325,Nathan,Simmons,Nathan Simmons,Male,2023-05-08,Glendale
11044,25,Adam,Flores,Adam Flores,Male,2021-02-28,Hervey Bay
11045,8,Leonard,Nara,Leonard Nara,Male,2023-04-10,Matraville
11046,6,Christine,Yuan,Christine Yuan,Female,2021-02-06,Lavender Bay
11047,34,Jaclyn,Lu,Jaclyn Lu,Female,2021-02-03,Geelong
11048,39,Jeremy,Powell,Jeremy Powell,Male,2021-02-10,Sunbury
11049,307,Carol,Rai,Carol Rai,Female,2023-03-09,Chula Vista
11050,31,Alan,Zheng,Alan Zheng,Male,2021-02-20,Hobart
11051,21,Daniel,Johnson,Daniel Johnson,Male,2023-12-29,Caloundra
11052,8,Heidi,Lopez,Heidi Lopez,Female,2021-02-17,Matraville
11053,359,Ana,Price,Ana Price,Female,2023-01-17,San Diego
11054,34,Deanna,Munoz,Deanna Munoz,Female,2021-02-03,Geelong
11055,22,Gilbert,Raje,Gilbert Raje,Male,2021-01-31,East Brisbane
11056,10,Michele,Nath,Michele Nath,Female,2021-02-26,Newcastle
11057,5,Carl,Andersen,Carl Andersen,Male,2021-02-22,Lane Cove
11058,29,Marc,Diaz,Marc Diaz,Male,2021-03-09,Findon
11059,27,Ashlee,Andersen,Ashlee Andersen,Female,2023-02-18,Townsville
11060,40,Jon,Zhou,Jon Zhou,Male,2021-03-19,Warrnambool
11061,23,Todd,Gao,Todd Gao,Male,2021-03-13,Gold Coast
11062,547,Noah,Powell,Noah Powell,Male,2023-01-07,Portland
11063,634,Angela,Murphy,Angela Murphy,Female,2023-01-12,Redmond
11064,315,Chase,Reed,Chase Reed,Male,2023-01-25,Downey
11065,331,Jessica,Henderson,Jessica Henderson,Female,2023-02-10,La Jolla
11066,543,Grace,Butler,Grace Butler,Female,2023-05-31,Lebanon
11067,632,Caleb,Carter,Caleb Carter,Male,2023-08-18,Port Orchard
11068,40,Tiffany,Liang,Tiffany Liang,Female,2023-04-30,Warrnambool
11069,23,Carolyn,Navarro,Carolyn Navarro,Female,2021-04-17,Gold Coast
11070,39,Willie,Raji,Willie Raji,Male,2021-04-28,Sunbury
11071,24,Linda,Serrano,Linda Serrano,Female,2023-03-01,Hawthorne
11072,17,Casey,Luo,Casey Luo,Female,2021-03-31,St. Leonards
11073,16,Amy,Ye,Amy Ye,Female,2023-03-23,Springwood
11074,28,Levi,Arun,Levi Arun,Male,2023-03-23,Cloverdale
11075,32,Felicia,Jimenez,Felicia Jimenez,Female,2021-04-28,Bendigo
11076,19,Blake,Anderson,Blake Anderson,Male,2021-04-21,Wollongong
11077,36,Leah,Ye,Leah Ye,Female,2021-04-15,Melton
11078,49,Gina,Martin,Gina Martin,Female,2023-02-15,Cliffside
11079,34,Donald,Gonzalez,Donald Gonzalez,Male,2023-03-15,Geelong
11080,30,Damien,Chander,Damien Chander,Male,2021-04-10,Perth
11081,311,Savannah,Baker,Savannah Baker,Female,2023-02-12,Concord
11082,322,Angela,Butler,Angela Butler,Female,2023-01-22,Fremont
11083,336,Alyssa,Cox,Alyssa Cox,Female,2023-01-06,Lincoln Acres
11084,543,Lucas,Phillips,Lucas Phillips,Male,2023-01-04,Lebanon
11085,345,Emily,Johnson,Emily Johnson,Female,2023-12-06,Newport Beach
11086,369,Ryan,Brown,Ryan Brown,Male,2023-07-02,Santa Monica
11087,307,Tamara,Liang,Tamara Liang,Female,2023-02-25,Chula Vista
11088,359,Hunter,Davis,Hunter Davis,Male,2023-01-13,San Diego
11089,337,Abigail,Price,Abigail Price,Female,2022-12-29,Long Beach
11090,338,Trevor,Bryant,Trevor Bryant,Male,2021-08-07,Los Angeles
11091,50,Dalton,Perez,Dalton Perez,Male,2023-01-29,Haney
11092,22,Cheryl,Diaz,Cheryl Diaz,Female,2021-04-08,East Brisbane
11093,19,Aimee,He,Aimee He,Female,2021-04-07,Wollongong
11094,33,Cedric,Ma,Cedric Ma,Male,2023-04-07,Cranbourne
11095,13,Chad,Kumar,Chad Kumar,Male,2021-04-01,Port Macquarie
11096,12,Andrés,Anand,Andrés Anand,Male,2021-04-11,North Sydney
11097,40,Edwin,Nara,Edwin Nara,Male,2021-04-04,Warrnambool
11098,14,Mallory,Rubio,Mallory Rubio,Female,2023-02-11,Rhodes
11099,13,Adam,Ross,Adam Ross,Male,2021-04-07,Port Macquarie
11100,28,Latasha,Navarro,Latasha Navarro,Female,2021-04-16,Cloverdale
11101,33,Abby,Sai,Abby Sai,Female,2021-04-29,Cranbourne
11102,18,Julia,Nelson,Julia Nelson,Female,2023-07-16,Sydney
11103,3,Cassie,Chande,Cassie Chande,Female,2021-04-15,Darlinghurst
11104,23,Edgar,Sara,Edgar Sara,Male,2021-05-04,Gold Coast
11105,8,Candace,Fernandez,Candace Fernandez,Female,2021-05-14,Matraville
11106,40,Jessie,Liu,Jessie Liu,Male,2021-05-18,Warrnambool
11107,17,Bianca,Lin,Bianca Lin,Female,2021-05-01,St. Leonards
11108,13,Kari,Alvarez,Kari Alvarez,Female,2021-05-03,Port Macquarie
11109,38,Ruben,Kapoor,Ruben Kapoor,Male,2021-05-10,South Melbourne
11110,3,Curtis,Yang,Curtis Yang,Male,2021-05-01,Darlinghurst
11111,34,Meredith,Gutierrez,Meredith Gutierrez,Female,2021-05-20,Geelong
11112,25,Crystal,Wang,Crystal Wang,Female,2021-05-25,Hervey Bay
11113,30,Micheal,Blanco,Micheal Blanco,Male,2023-02-01,Perth
11114,14,Leslie,Moreno,Leslie Moreno,Female,2023-03-18,Rhodes
11115,17,Alvin,Cai,Alvin Cai,Male,2023-02-10,St. Leonards
11116,18,Clinton,Carlson,Clinton Carlson,Male,2023-03-15,Sydney
11117,8,April,Deng,April Deng,Female,2021-05-06,Matraville
11118,6,Alvin,Zeng,Alvin Zeng,Male,2023-07-10,Lavender Bay
11119,13,Evan,James,Evan James,Male,2023-02-03,Port Macquarie
11120,18,Beth,Jiménez,Beth Jiménez,Female,2021-05-14,Sydney
11121,10,Orlando,Suarez,Orlando Suarez,Male,2023-06-24,Newcastle
11122,12,Byron,Vazquez,Byron Vazquez,Male,2023-02-21,North Sydney
11123,39,Philip,Alvarez,Philip Alvarez,Male,2023-04-17,Sunbury
11124,40,Ross,Jordan,Ross Jordan,Male,2021-05-05,Warrnambool
11125,37,Dana,Navarro,Dana Navarro,Female,2023-01-31,Seaford
11126,11,Shaun,Carson,Shaun Carson,Male,2021-05-28,North Ryde
11127,361,Jan,Edwards,Jan Edwards,Female,2023-04-10,San Gabriel
11128,635,Samantha,Long,Samantha Long,Female,2023-06-19,Renton
11129,638,Julia,Wright,Julia Wright,Female,2021-08-06,Sedro Woolley
11130,543,Caroline,Russell,Caroline Russell,Female,2023-12-09,Lebanon
11131,50,Amanda,Rivera,Amanda Rivera,Female,2023-10-18,Haney
11132,51,Melissa,Richardson,Melissa Richardson,Female,2023-04-09,Langford
11133,542,Angela,Griffin,Angela Griffin,Female,2023-12-30,Lake Oswego
11134,30,Larry,Townsend,Larry Townsend,Male,2021-05-03,Perth
11135,302,Marcus,Harris,Marcus Harris,Male,2023-04-18,Burlingame
11136,53,Brianna,Morgan,Brianna Morgan,Female,2023-01-03,Metchosin
11137,641,Jasmine,Taylor,Jasmine Taylor,Female,2023-07-31,Spokane
11138,325,Lauren,Davis,Lauren Davis,Female,2023-09-19,Glendale
11139,28,Tanya,Moreno,Tanya Moreno,Female,2023-09-14,Cloverdale
11140,301,Javier,Alvarez,Javier Alvarez,Male,2023-03-19,Burbank
11141,314,Nicole,Ramirez,Nicole Ramirez,Female,2023-05-16,Daly City
11142,51,Eduardo,Patterson,Eduardo Patterson,Male,2023-02-13,Langford
11143,334,Jonathan,Henderson,Jonathan Henderson,Male,2023-06-15,Lakewood
11144,607,Edward,Hernandez,Edward Hernandez,Male,2023-01-25,Ballard
11145,536,Jasmine,Coleman,Jasmine Coleman,Female,2023-01-25,Beaverton
11146,8,Karla,Goel,Karla Goel,Female,2023-02-05,Matraville
11147,40,Ernest,Wu,Ernest Wu,Male,2021-05-13,Warrnambool
11148,22,Ross,Vazquez,Ross Vazquez,Male,2023-03-07,East Brisbane
11149,25,Theodore,Gill,Theodore Gill,Male,2023-06-04,Hervey Bay
11150,39,Russell,Shen,Russell Shen,Male,2023-03-27,Sunbury
11151,18,Melinda,Gill,Melinda Gill,Female,2021-05-15,Sydney
11152,633,James,Williams,James Williams,Male,2023-01-09,Puyallup
11153,635,Angela,James,Angela James,Female,2023-03-29,Renton
11154,553,Megan,Walker,Megan Walker,Female,2023-01-10,Woodburn
11155,301,Hunter,Robinson,Hunter Robinson,Male,2023-01-06,Burbank
11156,334,Maria,Roberts,Maria Roberts,Female,2023-01-08,Lakewood
11157,642,Hannah,Long,Hannah Long,Female,2023-07-24,Tacoma
11158,361,Jason,Wright,Jason Wright,Male,2023-01-19,San Gabriel
11159,385,Brianna,Hughes,Brianna Hughes,Female,2023-09-08,Woodland Hills
11160,311,Maurice,Tang,Maurice Tang,Male,2023-02-21,Concord
11161,311,Emily,Wood,Emily Wood,Female,2023-06-01,Concord
11162,331,Chase,Cox,Chase Cox,Male,2023-02-18,La Jolla
11163,372,Gabriel,Wang,Gabriel Wang,Male,2023-05-01,Spring Valley
11164,374,Devin,Brooks,Devin Brooks,Male,2023-04-27,Torrance
11165,348,Jocelyn,Alexander,Jocelyn Alexander,Female,2023-05-25,Oakland
11166,631,Ashley,Martinez,Ashley Martinez,Female,2023-10-14,Olympia
11167,618,Jasmine,Barnes,Jasmine Barnes,Female,2023-01-07,Issaquah
11168,348,David,Rodriguez,David Rodriguez,Male,2023-01-15,Oakland
11169,312,Bryce,Richardson,Bryce Richardson,Male,2023-05-26,Coronado
11170,612,Carol,Howard,Carol Howard,Female,2023-08-26,Burien
11171,385,Jonathan,Hill,Jonathan Hill,Male,2021-08-20,Woodland Hills
11172,626,Gabrielle,Adams,Gabrielle Adams,Female,2023-05-03,Lynnwood
11173,552,Sarah,Thomas,Sarah Thomas,Female,2023-03-02,W. Linn
11174,338,Nicholas,Robinson,Nicholas Robinson,Male,2023-07-13,Los Angeles
11175,300,Luis,Wang,Luis Wang,Male,2021-08-28,Beverly Hills
11176,50,Mason,Roberts,Mason Roberts,Male,2023-02-02,Haney
11177,359,Jose,Flores,Jose Flores,Male,2023-03-29,San Diego
11178,334,Nathan,Johnson,Nathan Johnson,Male,2023-02-21,Lakewood
11179,300,Molly,Rodriguez,Molly Rodriguez,Female,2023-03-12,Beverly Hills
11180,307,April,Anand,April Anand,Female,2023-03-17,Chula Vista
11181,338,Devin,Martin,Devin Martin,Male,2023-05-07,Los Angeles
11182,638,Stephanie,Torres,Stephanie Torres,Female,2023-08-28,Sedro Woolley
11183,368,Jasmine,Lee,Jasmine Lee,Female,2023-04-30,Santa Cruz
